,Susceptible,Exposed,Infected,Fatalities,Recovered
0,9900.0,100.0,0.0,0.0,0.0
1,9886.33128119649,88.12671981887978,17.543614131329885,0.09129682683534066,0.9095592055497044
2,9860.908470996646,89.0634055484569,32.30473653369338,0.3417352702939685,3.391611747671921
3,9824.951034721353,99.4218861815091,46.63642150098367,0.7360338887785388,7.277191595613633
4,9778.251544826298,117.71468052721616,62.20056289789918,1.2786070154611742,12.594996950511044
5,9719.566323784456,143.66142558144145,80.32732230713327,1.9885984006002895,19.519869041318625
6,9646.809771658656,177.79730871344935,102.2371796245147,2.8977595219498196,28.350112889718503
7,9557.135106190151,221.25447573172642,129.18377833588758,4.0501163671953195,39.5028457067154
8,9446.955964005445,275.6361027933964,162.55032157578572,5.502812784805786,53.52109317657803
9,9311.949589987129,342.9296070736301,203.9164858581717,7.327761183298837,71.08883467990158
10,9147.078534983048,425.41848060792165,255.10232719232727,9.613845448430018,93.05137375726189
11,8946.670611480267,525.5569101320402,318.1878524337136,12.469445235347866,120.43867966076716
12,8704.603334546742,645.771914646372,395.5003695211524,16.025003951082283,154.4889051284585
13,8414.645103355482,788.158663649116,489.5559277974667,20.435254286855056,196.66823696776362
14,8071.004677421854,954.0416074045863,602.9366158385433,25.88055386367092,248.68167354091753
15,7669.123645498867,1143.3945178715426,738.0839297797947,32.56659022339133,312.4674594903959
16,7206.702392642568,1354.1542738491237,896.9928055261831,40.72153135428262,390.1661676037881
17,6684.8697560101145,1581.5301319665466,1080.8052194922489,50.58960612764125,484.0546044650608
18,6109.294416665409,1817.4937170584221,1289.3295595651591,62.42021265196916,596.4359565493779
19,5490.921039260363,2050.705220198238,1520.5516923508692,76.45210555145235,729.4821962328435
20,4845.958222839503,2267.1344175044014,1770.246823806312,92.89309077315251,885.0335422987325
21,4405.366122052162,2260.9627289992995,2012.5674434846567,111.83053412745464,1063.7102854647812
22,3959.825456154983,2262.2570563588433,2229.265460628524,133.05948421405122,1263.2195206071099
23,3524.177192260516,2256.443962900239,2422.9358382729065,156.3393496620383,1480.940850254221
24,3109.7305683973714,2234.7608384890937,2593.7286354305984,181.44207411055723,1714.4069848787026
25,2724.6680726932664,2192.8371653876316,2740.5617936285157,208.1340950372515,1961.1227543735902
26,2374.3459439106205,2129.6250527802654,2861.9750053320477,236.1685509581053,2218.4879903994934
27,2061.610959059992,2046.5078349076302,2956.7105312556055,265.2846040492986,2483.7919909434286
28,1787.181515707359,1946.5123691591543,3024.0748093775683,295.21143824405266,2754.2545243403765
29,1550.0869493501114,1833.612548905474,3064.1215951190597,325.67495143224573,3027.093162068583
30,1348.1285861536512,1712.1408441908811,3077.6941404092354,356.40553974988325,3299.600722502516
31,1178.318620355547,1586.3280217221163,3066.36360526688,387.14575624805866,3569.220609265599
32,1037.2606890930722,1459.980181522455,3032.3000511884584,417.6569864539549,3833.6115418473555
33,921.4514209754194,1336.2865985584754,2978.108662242823,447.7246355172579,4090.696772373844
34,827.4977770087371,1217.7389442744736,2906.6579166121846,477.16161776614086,4338.695880291915
35,752.2569872565891,1106.1352086286454,2820.919138523908,505.8101717338237,4576.139566791018
36,692.9127442503086,1002.640382440286,2723.829546237714,533.5421811269534,4801.869430885903
37,647.0035877804224,907.8790596519323,2618.1846000945416,560.2582699973199,5015.025559703137
38,612.4186341506809,822.0403752156399,2506.560647050604,585.8859736589433,5215.025065461234
39,587.3732674248872,744.9816101612464,2391.2655975908265,610.3772791497122,5401.534589821364
40,570.3743349598318,676.3220812805371,2274.3135548736773,633.7057960368298,5574.439434884006
41,560.1814940367441,615.5230866767503,2157.418581178587,655.86377320392,5733.811501881434
42,555.7689595287288,561.9526301487455,2042.0027851481404,676.8591289019712,5879.877713839746
43,556.2900855154973,514.9355209262201,1929.2143847746377,696.7126147935636,6012.990117159523
44,561.0459651923405,473.7904664545105,1819.9520766298801,715.4551949490462,6133.598448736711
45,569.4584271597774,437.8562347126668,1714.892760605446,733.1256876690445,6242.22561708466
46,581.0473067378131,406.50897989045035,1614.5204439290917,749.7686916488741,6339.44627989732
47,595.4116269007653,379.17273280003894,1519.1546826557912,765.4328001897585,6425.868520383599
48,612.214209056258,355.3247340552724,1428.9775108306344,780.1690929721275,6502.118484600501
49,631.1691983452049,334.49706572812636,1344.0581573120296,794.0298864712137,6568.827758522514
50,652.0320358249421,316.2756652139177,1264.3752286866152,807.0677188023136,6626.623214704474
51,697.1786645105313,279.8446717151546,1187.7795090679836,819.3274725335765,6676.048535718619
52,742.6523279799906,250.11379824454585,1113.004113305517,830.8294239739657,6717.396827934877
53,788.5086915519955,225.74110576416203,1040.9920921781031,841.5968020434995,6750.98755382708
54,834.7818059543,205.65173886898782,972.360034170143,851.6605593434732,6777.213464959092
55,881.4880362184144,188.98628076969777,907.4777745909291,861.0565221293928,6796.511463362496
56,928.6294745533892,175.05874058674817,846.5309270137018,869.8232476802838,6809.34081516896
57,976.1968636488357,163.32247254008638,789.5696606992591,878.0004365223907,6816.167119777842
58,1024.1720723277194,153.34257686129973,736.546553579797,885.6277754465647,6817.45073764338
59,1072.5301743806103,144.77359091032253,687.3457794289226,892.7441136499033,6813.638656678294
60,1121.2411806440489,137.34149866889038,641.8054252201821,899.3868955321211,6805.158999709495
61,1170.2714719654507,130.8292420507634,599.734413472888,905.5917883272792,6792.4175290835865
62,1219.5849756338744,125.06508038520951,560.9251809458966,911.3924571820608,6775.795655632263
63,1269.1441242539802,119.91324366239394,525.1630678939338,916.8204491344394,6755.649551855144
