,Susceptible,Exposed,Infected,Fatalities,Recovered
0,9900.0,100.0,0.0,0.0,0.0
1,9894.311711175025,88.13324066244206,17.293045013300546,0.09043796067581097,1.1716121042064143
2,9877.20683477891,88.75191098586801,31.377567433063728,0.3353193642755609,4.328544246735771
3,9850.198176123326,98.26416094549852,44.622391970153025,0.7152737764809421,9.200372592417956
4,9813.388186956647,114.99779536467145,58.61448820864709,1.2303004603413807,15.76985835308395
5,9765.9107366565,138.4578219710599,74.54209238564435,1.8940330794592992,24.19624043736766
6,9706.16214335502,168.90742282607832,93.42280004967171,2.7309888251187844,34.77788990342029
7,9631.911412999192,207.13312467796342,116.24285699828171,3.775613574765655,47.93856342008681
8,9540.345605350121,254.31063111639165,144.04501796387584,5.072440137180032,64.22818718820116
9,9428.087944660792,311.9192618599695,177.98516221791706,6.676957179511253,84.33282139620609
10,9291.217995738665,381.66974532140586,219.36727792000113,8.656931434266491,109.09038387698988
11,9125.321206499384,465.4182331985031,269.6594655678133,11.09398495818409,139.5095109483442
12,8925.596695751698,565.04283595639,330.48857592612273,14.085229301491331,176.78896057905834
13,8687.054725407885,682.2609246265299,403.607177268966,17.744714498834764,222.3344205212587
14,8404.835806073004,818.3689728427532,490.8235823229952,22.204371467217218,277.7685895959186
15,8074.677274090823,973.8956194433928,593.884233440722,27.61402553848168,344.9291375391946
16,7693.535364604074,1148.1766500337246,714.2989395310004,34.139954473446736,425.84785370170835
17,7260.336007849324,1338.8907644050573,853.1050143704833,41.96139284841116,522.7034391448416
18,6776.774353921098,1541.6363779860583,1010.5779504255281,51.26439750853947,637.7406401351078
19,6248.018324673051,1749.6738099279305,1185.9145256758181,62.23265117171946,773.1505974795756
20,5683.11560545212,1953.9849391538933,1376.9371620070403,75.03515316782008,930.9121504363245
21,5289.183246759854,1967.7592710561285,1562.4598853825125,89.75145095728789,1111.8249803851168
22,4881.597871942813,1993.009690069053,1727.6234990101711,106.21691421114784,1313.5232221629203
23,4472.534615125054,2016.839391741298,1875.9182024692527,124.24795200106846,1533.421771843359
24,4071.701093713008,2030.894547554381,2008.4284905948966,143.6828116164766,1769.243949862846
25,3686.795679509167,2030.131428977829,2124.8692722423057,164.36302682710246,2018.7785376563997
26,3323.7355172288085,2012.0117941038977,2224.301024921365,186.1235158577835,2279.75112012456
27,2986.789783670011,1975.9276409540141,2305.6256052489816,208.78866881242473,2549.774176180545
28,2678.702440874833,1922.7387432118126,2367.9218761268216,232.1725558226455,2826.3509556017507
29,2400.8461962674805,1854.3656394763807,2410.656956696191,256.08184581443476,3106.914361822308
30,2153.4176628420887,1773.4195844310514,2433.7974942201163,280.3203200404785,3388.88605568771
31,1935.6635654833403,1682.8722994381772,2437.840985374394,304.69408269504453,3669.7439666662713
32,1746.1184266786472,1585.776132620934,2423.7860097237694,329.0167636548609,3947.089010345056
33,1582.8330619151168,1485.0441380045165,2393.0597460043973,353.1141951393109,4218.704319958488
34,1443.5773925224898,1383.293979015673,2347.420016171931,376.82822242278945,4482.602673868199
35,1326.0075484544288,1282.752945992902,2288.8469386826628,400.019471690156,4737.0599523877945
36,1227.793698770389,1185.2160143181545,2219.4362553175442,422.56903400908755,4980.634236403088
37,1146.710192507058,1092.0457059080945,2141.302959840131,444.3791285520315,5212.17151104304
38,1080.6928410274913,1004.2016465916424,2056.5005326034297,465.37287682729567,5430.799815007844
39,1027.8697534926375,922.2885235896558,1966.9581725877288,485.493358379853,5635.914157831604
40,986.5723382657563,846.613042407166,1874.4361821415873,504.70213017303615,5827.154655538083
41,955.3324798191271,777.2427776429872,1780.4980873610095,522.9773850853362,6004.380222290793
42,932.8708725254803,714.0620402909129,1686.4971646256488,540.3119060111479,6167.63988710128
43,918.0803387343886,656.8218506223019,1593.5746201923907,556.7109456878133,6317.143442096404
44,910.0069197641424,605.1825618414722,1502.6666519742507,572.1901349032662,6453.232756742669
45,907.8306247125635,558.748792304985,1414.517799108623,586.7734950641815,6576.35473374229
46,910.8470241480304,517.0970082937129,1329.6983578364543,600.4916060433392,6687.036548097299
47,918.4503676354143,479.7965067127378,1248.6240202889494,613.3799607607536,6785.8635529436515
48,930.1185474232711,446.4247309185934,1171.5763038533532,625.4775211440051,6873.460014292913
49,945.3999878149834,416.57790440005954,1098.7227040843666,636.8254777329574,6950.47267518061
50,963.9024067443227,389.87791187645195,1030.1358291521344,647.4662054282842,7017.557022625306
51,1010.8202573294944,342.85576262657025,963.5055582346769,657.4344560266629,7075.2630319507025
52,1058.80264192927,303.86868089726096,897.6107467703325,666.7388302874407,7123.796986981262
53,1107.864407627526,271.3638854694425,833.7010075732428,675.3933350686891,7163.433267887532
54,1157.9930273207942,244.09813538894053,772.603352362992,683.4222589130568,7194.576406228778
55,1209.1557481753807,221.076079676169,714.8290910449757,690.8565054362164,7217.712353282004
56,1261.3052158132755,201.50074145902798,660.6565563953898,697.7308650930353,7233.372374752468
57,1314.3838683854917,184.7338567460163,610.1946440408169,704.0820185447328,7242.106774297103
58,1368.327364864976,170.26406173411792,563.4314575278352,709.947096093481,7244.466073306054
59,1423.0672444337242,157.6814113741968,520.2712592904968,715.3626635394968,7240.987896134219
60,1478.5329801445273,146.65695994107767,480.562357737,720.3640292771256,7232.1881417795
61,1534.6535489983619,136.92642683124132,444.1179194788719,724.9847942518442,7218.555385971264
62,1591.358621217225,128.27712757047476,410.73134092348596,729.2565813515673,7200.5476600912425
63,1648.5794460916336,120.5375286419705,380.187430789461,733.2088965975461,7178.5909669969815
64,1706.2494969139339,113.5689092193464,352.2703850724068,736.8690855556215,7153.079043192774
65,1764.3049254024775,107.25870756242986,326.76933426285746,740.2623566005478,7124.373987742479
66,1822.6848650035229,101.51522178138998,303.4820524909852,743.4118502073072,7092.807479977802
67,1881.331615928716,96.26338975470227,282.21730329844274,746.3387380282879,7058.682369895613
68,1940.190737449852,91.44143532960825,262.7961738670494,749.0623402144691,7022.274488303771
69,1999.211068893343,86.99820314710826,245.05267913953878,751.6002521551783,6983.834560319831
