,Susceptible,Exposed,Infected,Fatalities,Recovered
101,3654.2370189086632,71.63005012490343,136.10309929829344,1125.4614838878722,5107.0430976823745
102,3700.4610108591773,71.56792495661108,134.78986365122717,1126.9872890004328,5061.565531180126
103,3746.103081878753,71.55792209139778,133.6231182540995,1128.497755091648,5016.486549961453
104,3791.159126203907,71.5990311071439,132.5963200043485,1129.9945257217412,4971.816171199241
105,3835.6252559777545,71.69033219922811,131.70348963428935,1131.4791705575644,4927.56361344031
106,3879.4977802459944,71.8309906627076,130.93916458577795,1132.9531916698718,4883.737363962357
107,3922.7731854611175,72.02025190139192,130.2983557135228,1134.418029341743,4840.34524075538
108,3965.448117745546,72.25743589846076,129.7765086120025,1135.8750673724517,4797.394449163035
109,4007.519366335718,72.54193258022855,129.36946759479576,1137.325637979442,4754.891634198894
110,4048.9838487586567,72.87319685245,129.07344357472047,1138.7710262613446,4712.8429279953025
111,4089.8385972067917,73.25074406525785,128.8849842838649,1140.2124743195052,4671.25399362655
112,4130.080746139803,73.67414540208209,128.80094704146484,1141.6511850664763,4630.130065545861
113,4169.707521327403,74.14302352308577,128.81847391614875,1143.0883256951702,4589.475986271469
114,4208.716229889217,74.65704814317364,128.93496869443803,1144.5250309111016,4549.296240571426
115,4247.1042517031465,75.21593179577663,129.14807579370705,1145.9624058739103,4509.594986440024
116,4284.869031811187,75.81942563158985,129.45566064618137,1147.4015289260421,4470.376083783384
117,4322.00807399599,76.46731524910302,129.8557915948306,1148.843454091513,4431.643120620237
118,4358.518935365254,77.15941659504382,130.34672283558868,1150.289213402418,4393.399437330692
119,4394.399222179832,77.8955718530279,130.92687886694128,1151.7398189820085,4355.648148408866
120,4429.64658654707,78.67564536363768,131.59483960748926,1153.1962650047858,4318.392162773697
121,4464.258724295471,79.499519511237,132.34932635131926,1154.6595294848476,4281.634202265464
122,4498.233373266518,80.36709099299958,133.18918938859323,1156.1305758595265,4245.376817882193
123,4531.568314159612,81.27826606009667,134.11339415452952,1157.6103545536105,4209.622405981755
124,4564.261370400308,82.23295708682976,135.12101088909228,1159.099804235373,4174.373220929946
125,4596.31041012554,83.23107825271707,136.21120272920703,1160.5998530795653,4139.631388079096
126,4627.713349000481,84.27254138237355,137.3832148168257,1162.1114198787145,4105.398914892993
127,4658.46815402767,85.35725184749424,138.63636428562492,1163.6354149668675,4071.67770032611
128,4688.572848074716,86.4851043516861,139.97002977534314,1165.1727411407835,4038.469544076444
129,4718.025514927195,87.6559790553839,141.38364242615356,1166.7242943752367,4005.7761536986277
130,4746.824306311335,88.86973719793052,142.876675759887,1168.2909645063628,3973.5991513953245
131,4774.967450355756,90.12621644629625,144.44863589954787,1169.8736357717019,3941.9400794477588
132,4802.453257334837,91.42522771395608,146.09905454520336,1171.473187238151,3910.800404250107
133,4829.280130352899,92.76655040368054,147.82747866557244,1173.0904931948387,3880.1815202986277
134,4855.446574798208,94.14992849725047,149.63346233009665,1174.726423395957,3850.084752573424
135,4880.951208915432,95.57506650143652,151.51655807141242,1176.381843260074,3820.511358458732
136,4905.792775409325,97.04162531857231,153.47630890109926,1178.0576139132866,3791.462528210113
137,4929.970153223806,98.54921853393348,155.5122398917535,1179.7545922181828,3762.939385277418
138,4953.482370207182,100.09740853559659,157.62385026032632,1181.4736306870695,3734.9429855235553
139,4976.3286164613255,101.68570291605567,159.8106055228738,1183.2155772924018,3707.4743155089504
140,4998.508257987683,103.31355098708976,162.0719298162229,1184.981275220871,3680.534290255371
141,5020.020850851201,104.98034050924984,164.4071984136071,1186.771562533576,3654.123750177218
142,5040.866155434941,106.68539447887586,166.8157303362652,1188.5872718053417,3628.2434577894323
143,5061.044151530296,108.4279685929745,169.29678144214827,1190.4292295600878,3602.8940926289574
144,5080.555052952098,110.20724848567629,171.84953730507027,1192.2982557938506,3578.076247001563
145,5099.399322480774,112.02234788118021,174.47310700491118,1194.1951632685953,3553.7904198035176
146,5117.577686962178,113.87230624850609,177.16651656446345,1196.1207568868242,3530.0370109561445
147,5135.091151441394,115.75608802822167,179.92870351861345,1198.0758328714471,3506.8163142972357
148,5151.941014373082,117.6725808081565,182.7585108842843,1200.0611780230668,3484.1285109684272
149,5168.128880335736,119.62059588409538,185.65468271960677,1202.0775687590988,3461.9736615432334
150,5183.656674623078,121.59886711984264,188.61585882430435,1204.1257702942069,3440.3516986955215
151,5198.526654658567,123.60605251559639,191.64057154448435,1206.2065355722973,3419.2624184812885
152,5212.741422651132,125.64073438827552,194.72724159111317,1208.3206043443781,3398.705472607311
153,5226.303935845601,127.70142172940545,197.874175878844,1210.468702027963,3378.680359126181
154,5239.2175160199295,129.7865521587518,201.07956496822794,1212.6515387377588,3359.1864145138193
155,5251.485858071496,131.89449487307246,204.34148158223047,1214.8698081511468,3340.2228047540793
156,5263.113036583115,134.02355455376042,207.65788053510232,1217.1241863605762,3321.7885160855826
157,5274.103511481341,136.17197509925433,211.02659806418353,1219.4153308119523,3303.882347342591
158,5284.462130143657,138.33794516939477,214.4453539862067,1221.743879207065,3286.502901246579
159,5294.194131798694,140.51960288824887,217.9117523435325,1224.110448310158,3269.648575852571
160,5303.305145372495,142.71504237840068,221.4232847699601,1226.5156330015666,3253.317557750956
161,5311.8011856414705,144.92232158413412,224.97733498388627,1228.9600052171002,3237.5078146612414
162,5319.6886512921255,147.13946868082888,228.57118286701441,1231.444112771229,3222.2170880636295
163,5326.974319131655,149.36448925365303,232.20200980311515,1233.9684785238153,3207.4428873063093
164,5333.665332804442,151.59537589032755,235.8669061847429,1236.533599440489,3193.182484731795
165,5339.7691933391225,153.83011601112966,239.56287860638813,1239.139945777366,3179.4329109245396
166,5345.293746137938,156.06670173867096,243.2868585326288,1241.7879601738998,3166.1909500936254
167,5350.247163874153,158.30313997200244,247.0357107959252,1244.4780571688652,3153.453139090138
168,5354.63793010473,160.53746232637982,250.8062440242771,1247.2106224255072,3141.2157642048533
169,5358.47481957987,162.76773299940825,254.59522280070007,1249.986012315181,3129.474861252262
170,5361.766876322966,164.9920598342977,258.39937927776816,1252.8045534265314,3118.2262153066854
171,5364.523389501162,167.2086035426056,262.21542544479,1255.6665424065661,3107.465363503606
172,5366.75387022401,169.41558701316836,266.0400661609536,1258.5722455781627,3097.187596284491
173,5368.468021121224,171.61130675648238,269.8700117191788,1261.5218991315273,3087.387963622385
